,Address,Price,Zip Code,Size,Neighbourhood
441,"1132 SW 19th Ave Unit 308, Portland, OR 97205",479000,97205,977,Downtown
553,"2336 SW Osage St Unit 800, Portland, OR 97205",3275000,97205,4927,Downtown
661,"550 SW 10th Ave Unit 2102, Portland, OR 97205",2275000,97205,1756,Downtown
662,"550 SW 10th Ave Unit 2101, Portland, OR 97205",3220000,97205,2611,Downtown
733,"550 SW 10th Ave Unit 3401, Portland, OR 97205",7850000,97205,3966,Downtown
802,"3127 SW Champlain Dr, Portland, OR 97205",1200000,97205,3794,Downtown
830,"2021 SW Main St Unit 63, Portland, OR 97205",379000,97205,1026,Downtown
919,"2955 SW Fairview Blvd, Portland, OR 97205",1499000,97205,3000,Downtown
982,"1221 SW 10th Ave Unit 601, Portland, OR 97205",1074900,97205,2060,Downtown
1002,"2393 SW Park Pl Unit 302, Portland, OR 97205",489000,97205,1155,Downtown
1448,"2336 SW Osage St Unit 505, Portland, OR 97205",399000,97205,1030,Downtown
1587,"1221 SW 10th Ave Unit 702, Portland, OR 97205",575000,97205,1379,Downtown
1780,"2670 SW Tichner Dr, Portland, OR 97205",2275000,97205,5388,Downtown
1929,"1221 SW 10th Ave Unit 1006, Portland, OR 97205",799000,97205,1568,Downtown
1974,"2910 SW Canterbury Ln, Portland, OR 97205",2300000,97205,2921,Downtown
1999,"1221 SW 10th Ave Unit 1412, Portland, OR 97205",565000,97205,1338,Downtown
2099,"731 SW King Ave Unit 7, Portland, OR 97205",250000,97205,871,Downtown
2157,"2393 SW Park Pl Unit 106, Portland, OR 97205",399000,97205,1296,Downtown
2161,"2323 SW Park Pl Unit 302, Portland, OR 97205",279000,97205,1500,Downtown
37,"7825 SE Crystal Springs Blvd, Portland, OR 97206",385000,97206,920,Foster Powell
84,"3306 SE 77th Ave, Portland, OR 97206",479900,97206,1978,Foster Powell
96,"4412 SE 47th Ave, Portland, OR 97206",559000,97206,2110,Foster Powell
101,"5420 SE Knapp St, Portland, OR 97206",649900,97206,1800,Foster Powell
