Address,Price,Beds,Baths,Sizes
"3833 NE 77th Ave, Portland, OR 97213","$610,000 ",4,2,"2,544sqft"
"703 NE 79th Ave, Portland, OR 97213","$789,000 ",8,4,"3,000sqft"
"1234 N Kilpatrick St, Portland, OR 97217","$499,000 ",2,2,"1,472sqft"
"2207 SE Tibbetts St, Portland, OR 97202","$731,000 ",4,2,"2,780sqft"
"2412 N Hunt St, Portland, OR 97217","$529,000 ",3,3,"1,586sqft"
"7825 SE Reed College Pl, Portland, OR 97202","$915,000 ",5,4,"3,363sqft"
"6515 NE Cleveland Ave, Portland, OR 97211","$750,000 ",4,4,"2,980sqft"
"2012 NE 158th Ave, Portland, OR 97230","$499,000 ",2,2,"1,706sqft"
"8520 N John Ave, Portland, OR 97203","$499,900 ",3,2,"1,080sqft"
"13243 NE Sacramento Dr, Portland, OR 97230","$549,900 ",5,2,"2,368sqft"
"12740 SE Salmon St, Portland, OR 97233","$429,900 ",3,2,"2,379sqft"
"3921 SE Salmon St, Portland, OR 97214","$870,000 ",4,3,"2,676sqft"
"11840 NE Sacramento St, Portland, OR 97220","$415,000 ",3,2,"1,410sqft"
"4734 NE 30th Ave, Portland, OR 97211","$399,000 ",2,2,"1,260sqft"
"4635 S Corbett Ave, Portland, OR 97239","$545,000 ",3,4,"1,942sqft"
"11611 SE Yamhill St, Portland, OR 97216","$320,000 ",2,1,"1,775sqft"
"3224 SW Fairmount Blvd, Portland, OR 97239","$800,000 ",3,4,"2,427sqft"
"7106 NE 13th Ave, Portland, OR 97211","$499,900 ",5,1,"3,015sqft"
"3962 N Montana Ave, Portland, OR 97227","$524,950 ",3,2,"2,487sqft"
"4518 SE 87th Ave, Portland, OR 97266","$375,000 ",2,1,"1,002sqft"
"3808 NE 74th Ave, Portland, OR 97213","$519,900 ",3,3,"1,550sqft"
"2367 NW 141st Pl, Portland, OR 97229","$1,249,900 ",4,3,"4,243sqft"
"16122 NE Siskiyou St, Portland, OR 97230","$495,000 ",3,2,"1,758sqft"
"3821 SE Tenino St, Portland, OR 97202","$849,900 ",4,4,"2,532sqft"
"5627 SE 139th Ave, Portland, OR 97236","$499,000 ",5,3,"2,573sqft"
"14 SE 105th Ave, Portland, OR 97216","$315,000 ",2,3,"1,022sqft"
"5135 SE 41st Ave, Portland, OR 97202","$549,000 ",5,2,"2,088sqft"
"830 SE 179th Ave, Portland, OR 97233","$464,900 ",5,3,"2,136sqft"
"5236 N Greeley Ave, Portland, OR 97217","$840,000 ",3,2,"2,616sqft"
"3604 SE Morrison St, Portland, OR 97214","$675,000 ",3,2,"2,589sqft"
"15104 NW Twoponds Dr, Portland, OR 97229","$549,900 ",4,3,"1,524sqft"
"2955 N Argyle St, Portland, OR 97217","$625,000 ",4,3,"1,875sqft"
"4025 NE 69th Ave, Portland, OR 97213","$475,000 ",2,1,731sqft
"2221 SW 1st Ave Apt 1824, Portland, OR 97201","$495,000 ",2,2,"1,473sqft"
"14412 NW Whistler Ln, Portland, OR 97229","$790,000 ",4,3,"2,835sqft"
"2445 NW Westover Rd Unit 201, Portland, OR 97210","$600,000 ",2,2,"1,264sqft"
"7403 N Omaha Ave, Portland, OR 97217","$375,000 ",2,1,768sqft
"2504 NE 32nd Pl, Portland, OR 97212","$700,000 ",4,2,"2,780sqft"
"5003 NE Halsey St, Portland, OR 97213","$660,000 ",3,1,"2,114sqft"
"9233 SW 52nd Ave, Portland, OR 97219","$875,000 ",5,3,"2,933sqft"
"2604 SW Stanley Ct, Portland, OR 97219","$649,900 ",4,2,"1,820sqft"
"4114 NE 76th Ave, Portland, OR 97218","$449,000 ",2,1,"1,364sqft"
"3924 SE Woodward St, Portland, OR 97202","$825,000 ",5,2,"3,119sqft"
"7510 NW Lauren Ave, Portland, OR 97229","$699,000 ",4,3,"1,999sqft"
"4417 NE Killingsworth St Unit 113, Portland, OR 97218","$439,000 ",3,2,"1,551sqft"
"836 NE 78th Ave, Portland, OR 97213","$425,000 ",2,1,788sqft
"2728 SE 70th Ave, Portland, OR 97206","$635,000 ",3,2,"2,464sqft"
"9155 SW 23rd Dr, Portland, OR 97219","$399,900 ",3,2,"1,056sqft"
"2438 NW Jean Ln, Portland, OR 97229","$575,000 ",4,3,"2,028sqft"
"8954 N Van Houten Ave, Portland, OR 97203","$639,000 ",4,2,"2,688sqft"
"14010 NW Tradewind St, Portland, OR 97229","$829,900 ",5,3,"2,636sqft"
"4623 NE 15th Ave, Portland, OR 97211","$649,950 ",3,2,"1,884sqft"
"4504 NE 25th Ave, Portland, OR 97211","$639,000 ",4,1,"2,472sqft"
"10420 SE Raymond St, Portland, OR 97266","$445,000 ",4,2,"1,681sqft"
"204 SE 32nd Ave, Portland, OR 97214","$950,000 ",4,2,"3,123sqft"
"1625 SW Montgomery St Unit B, Portland, OR 97201","$949,000 ",4,5,"2,634sqft"
"1116 NE 60th Ave, Portland, OR 97213","$320,000 ",2,2,912sqft
"11902 SW 60th Ave, Portland, OR 97219","$985,000 ",3,3,"4,369sqft"
"7227 SW 5th Ave, Portland, OR 97219","$600,000 ",3,1,"2,438sqft"
"8308 SE 64th Ave, Portland, OR 97206","$529,950 ",4,2,"2,508sqft"
"1320 SW Hall St Apt 103, Portland, OR 97201","$349,500 ",2,2,"1,206sqft"
"7222 SE 36th Ave, Portland, OR 97202","$675,000 ",3,2,"1,712sqft"
"4734 SW Coronado St, Portland, OR 97219","$475,000 ",3,2,"1,080sqft"
"10505 SW 43rd Ave, Portland, OR 97219","$574,990 ",4,3,"2,030sqft"
"1476 NE Sumner St, Portland, OR 97211","$575,000 ",4,2,"1,774sqft"
"45 S Mitchell St, Portland, OR 97239","$519,900 ",3,3,"1,716sqft"
"8240 NE Thompson St, Portland, OR 97220","$474,900 ",4,2,"1,272sqft"
"2319 NE 92nd Ave, Portland, OR 97220","$485,000 ",3,3,"1,546sqft"
"8219 SE 67th Ave, Portland, OR 97206","$419,900 ",3,3,"1,381sqft"
"5614 NE 14th Ave, Portland, OR 97211","$540,000 ",4,2,"1,824sqft"
"3544 SE 158th Ave, Portland, OR 97236","$415,000 ",6,2,"3,136sqft"
"5216 SW Pomona St, Portland, OR 97219","$750,000 ",4,2.5,"2,182sqft"
"4719 N Willamette Blvd, Portland, OR 97203","$775,000 ",5,3,"2,818sqft"
"8317 N Smith St, Portland, OR 97203","$599,900 ",2,2,"2,181sqft"
"17321 NE Couch St, Portland, OR 97230","$419,900 ",3,2,"1,256sqft"
"567 N Blandena St, Portland, OR 97217","$325,000 ",3,1,"2,016sqft"
"2530 NE Killingsworth St Apt 4, Portland, OR 97211","$315,000 ",2,1,791sqft
"1404 SW Westwood Ct, Portland, OR 97239","$874,900 ",4,3,"3,021sqft"
"3711 N Alaska Pl, Portland, OR 97217","$500,000 ",3,1,980sqft
"3112 SE Gladstone St, Portland, OR 97202","$650,000 ",4,3,"3,789sqft"
"3415 NE 26th Ave, Portland, OR 97212","$705,000 ",3,1,"1,981sqft"
"1125 NE Sumner St, Portland, OR 97211","$665,000 ",3,2,"2,027sqft"
"313 NE Morris St, Portland, OR 97212","$535,000 ",3,4,"1,507sqft"
"5754 S Riverpoint Ln, Portland, OR 97239","$525,000 ",2,2,"1,206sqft"
"5309 SE 72nd Pl, Portland, OR 97206","$495,000 ",2,3,"1,409sqft"
"2817 NE Fremont St, Portland, OR 97212","$790,000 ",4,2,"2,134sqft"
"5047 SE Ellis St, Portland, OR 97206","$895,000 ",4,3,"2,862sqft"
"3333 SE Rex St, Portland, OR 97202","$599,000 ",2,2,"2,362sqft"
"949 NW Overton St Units 502 & 4, Portland, OR 97209","$1,695,000 ",2,2,"2,460sqft"
"9718 NE Prescott St, Portland, OR 97220","$549,500 ",3,3,"2,622sqft"
"1811 N Colfax St, Portland, OR 97217","$605,000 ",3,3,"1,650sqft"
"1621 SE 87th Ave, Portland, OR 97216","$695,000 ",5,3,"2,885sqft"
"6417 N Montana Ave Unit 5, Portland, OR 97217","$419,900 ",2,3,"1,143sqft"
"2414 SE Yamhill St, Portland, OR 97214","$717,500 ",3,2,"2,386sqft"
"5225 SE 37th Ave, Portland, OR 97202","$800,000 ",5,4,"2,204sqft"
"2836 N Killingsworth St, Portland, OR 97217","$650,000 ",4,2,"2,263sqft"
"189 N Lotus Beach Dr, Portland, OR 97217","$949,000 ",3,4,"3,124sqft"
"12134 SE Woodward Pl, Portland, OR 97266","$319,888 ",2,2,"1,217sqft"
"5820 SE 20th Ave, Portland, OR 97202","$495,000 ",2,2,"1,505sqft"
"12563 NW Millford St, Portland, OR 97229","$799,000 ",4,3,"2,654sqft"
"11740 NW Cedar Falls Dr, Portland, OR 97229","$567,000 ",3,3,"1,450sqft"
"10121 SE Pine St, Portland, OR 97216","$424,900 ",5,2,"2,754sqft"
"8710 SE Cora St, Portland, OR 97266","$499,900 ",3,1,"2,071sqft"
"6805 N Albina Ave, Portland, OR 97217","$565,000 ",3,1,"1,800sqft"
"4051 N Commercial Ave, Portland, OR 97227","$1,099,950 ",3,5,"2,776sqft"
"4057 N Commercial Ave, Portland, OR 97227","$1,099,950 ",4,5,"2,776sqft"
"4647 NW Driver Pl, Portland, OR 97229","$975,000 ",3,3,"2,917sqft"
"6029 SE 86th Ave, Portland, OR 97266","$375,000 ",2,1,"1,328sqft"
"8701 N Tyndall Ave, Portland, OR 97217","$584,000 ",3,3,"1,808sqft"
"17061 SE Manley St, Portland, OR 97236","$849,999 ",5,3,"3,252sqft"
"1132 SW 19th Ave Unit 803, Portland, OR 97205","$599,900 ",2,2,"1,374sqft"
"2828 S Water Ave, Portland, OR 97201","$750,000 ",3,3,"3,841sqft"
"4435 NW Kahneeta Dr, Portland, OR 97229","$719,900 ",3,3,"2,619sqft"
"13045 SE Stark St Unit 138, Portland, OR 97233","$79,900 ",2,1,800sqft
"829 NE 90th Ave, Portland, OR 97220","$269,000 ",3,2,"1,225sqft"
"1744 SE Umatilla St, Portland, OR 97202","$525,000 ",3,1,"1,232sqft"
"600 NE Ivy St, Portland, OR 97212","$1,500,000 ",4,4,"3,850sqft"
