,Address,Price,Zip Code,size
351,"414 SE 74th Ave, Portland, OR 97215",748000,97215,1918
352,"1924 NE 153rd Pl, Portland, OR 97230",429900,97230,1464
353,"17719 SW 81st Pl, Portland, OR 97224",975000,97224,2738
354,"3716 NE 156th Ave, Portland, OR 97230",365000,97230,1344
355,"2424 SE Caruthers St, Portland, OR 97214",819900,97214,3038
356,"8121 SW 47th Ave, Portland, OR 97219",1039000,97219,1701
357,"3851 SW Canby St, Portland, OR 97219",399000,97219,1040
358,"15132 SE Franklin St, Portland, OR 97236",485000,97236,2208
359,"5520 SE Schiller St, Portland, OR 97206",599000,97206,2149
360,"9088 SW Rystadt Ln, Portland, OR 97225",494900,97225,1738
361,"319 SE 63rd Ave, Portland, OR 97215",799999,97215,2626
362,"6058 NE 42nd Ave, Portland, OR 97218",499999,97218,1471
363,"8558 SE 70th Ave Unit B, Portland, OR 97206",399000,97206,892
364,"710 NW Naito Pkwy Apt C3, Portland, OR 97209",435000,97209,1076
365,"8554 SE 70th Ave Unit A, Portland, OR 97206",499000,97206,1362
366,"1900 S River Dr Unit N112, Portland, OR 97201",550000,97201,1885
367,"4636 SW Vesta St, Portland, OR 97219",549900,97219,1765
368,"11825 SE Brookside Dr, Portland, OR 97266",424900,97266,1186
369,"3915 SE Lambert St, Portland, OR 97202",675000,97202,2061
370,"4611 SE Knapp St, Portland, OR 97206",719900,97206,2162
371,"10707 S Southridge Dr, Portland, OR 97219",1395000,97219,5347
372,"2256 SW Humphrey Park Rd, Portland, OR 97221",1150000,97221,3440
373,"1738 NW Larkin Ter Lot 3, Portland, OR 97229",1050000,97229,3100
374,"17064 SW Eldorado Dr Unit 40, Portland, OR 97224",89999,97224,1248
375,"1310 SE Rural St, Portland, OR 97202",1075000,97202,2700
376,"1730 S Harbor Way Unit 501, Portland, OR 97201",425000,97201,1206
377,"2610 SE 36th Ave, Portland, OR 97202",930000,97202,2684
378,"7360 SE 156th Ave, Portland, OR 97236",749900,97236,2620
379,"9536 NW Arborview Dr, Portland, OR 97229",766000,97229,2608
380,"5320 SE Cooper St, Portland, OR 97206",279000,97206,790
381,"1223 NE 187th Ln, Portland, OR 97230",455000,97230,1714
382,"9454 N Tyler St Unit A, Portland, OR 97203",399999,97203,1117
383,"1885 S Greenwood Rd, Portland, OR 97219",3600000,97219,8190
384,"2021 SW Main St Unit 43, Portland, OR 97205",349000,97205,1026
385,"3346 E Burnside St, Portland, OR 97214",849000,97214,3203
386,"4111 SW Comus St, Portland, OR 97219",749900,97219,3180
387,"9748 N Hodge Ave, Portland, OR 97203",489900,97203,1631
388,"8127 SE Taylor St, Portland, OR 97215",398000,97215,936
389,"1500 SW 5th Ave Unit 606, Portland, OR 97201",599000,97201,1319
390,"1806 NE Bryant St, Portland, OR 97211",339900,97211,632
391,"4320 S Corbett Ave Apt 312, Portland, OR 97239",355000,97239,1126
392,"9640 SE Ellis St, Portland, OR 97266",379000,97266,1008
393,"1425 NE Bryant Ct, Portland, OR 97211",429000,97211,1352
394,"2402 NW Miller Rd, Portland, OR 97229",595000,97229,1837
395,"3001 NE Ainsworth St, Portland, OR 97211",850000,97211,2662
396,"10830 SW Park Way, Portland, OR 97225",700000,97225,3218
397,"1103 NE 80th Ave, Portland, OR 97213",399000,97213,968
398,"9917 NE Campaign St, Portland, OR 97220",539900,97220,1840
